COUNTRY,LOCATION,LATITUDE,LONGITUDE
,,,
BELGIUM,BLAREGNIES,50.35,3.8833
BELGIUM,EYNATTEN,50.7000,6.0833
BELGIUM,GD LUX,,
BELGIUM,HILVARENBEEK,,
BELGIUM,LOENHOUT,51.4000,4.6500
BELGIUM,POPPEL,51.43333,5.033333
BELGIUM,'S GRAVENVOEREN,50.7667,5.7667
BELGIUM,ZANDVLIET,51.3667,4.3000
BELGIUM,ZEEBRUGGE,51.3333,3.2000
BELGIUM,ZELZATE,51.1896,3.80777
GERMANY,DORNUM,53.65,7.433
GERMANY,ELLUND,54.8,9.3166667
GERMANY,EMDEN,53.666667,7.2166667
GERMANY,MEDELSHEIM,49.1500,7.2667
GERMANY,OBERKAPPEL,48.5500,13.7667
GERMANY,WAIDHAUS,49.633,12.483
GERMANY,WALLBACH,50.2500,8.2000
SPAIN,ALMERÍA,36.84382,-2.45243
SPAIN,BADAJOZ,38.8833333,-6.9666667
SPAIN,BARCELONA,41.3833,2.1875 
SPAIN,BILBAO,43.2981,-2.9058
SPAIN,CARTAGENA,37.61042,-0.97298
SPAIN,EUSKADOUR,,
SPAIN,HUELVA,37.3643,-6.9209
SPAIN,LARRAU,42.9666667,-1
SPAIN,MUGARDOS,43.4667,-8.2500
SPAIN,SAGUNTO,39.6833,-0.26667
SPAIN,TARIFA,36.0135,5.6116
SPAIN,TUY,42.050,-8.633
